Year,Month,Day,DocNo,Machine Name,Producted Item.Code,Producted Item.Name,ProducedQty,ScrapQtySum,AvgRejectPct,Reject_Status,RMCount,Reject_Limit_Status,Reject_Limit.AvgRejectPct_Item
2026,April,3,MS-26-02668,INJECTION AREA,BIO-SP-B-16,BIOHAZARDSPECIMENBAGCH#14X16,210,3,1.43%,Acceptable 🟢,1,Below usual 🔻,1.63%
2026,April,3,MS-26-02671,INJECTION AREA,PVC-73ME-M,PVCMXMED73MEM(MAIS),1370,10,0.73%,Acceptable 🟢,1,Below usual 🔻,0.93%
2026,April,3,MS-26-02672,INJECTION AREA,BBC-BODY2,BC-BODY-2,1649,29,1.76%,Acceptable 🟢,1,Above usual 🔺,1.24%
2026,April,3,MS-26-02673,INJECTION AREA,PET-50ML,PET PLASTIC BOTTLE 50 ML,39645,145,0.37%,Acceptable 🟢,1,Below usual 🔻,2.64%
2026,April,3,MS-26-02674,INJECTION AREA,PET-CAP-50,PET CAP FOR 50ML BOTTLE,17441,37,0.21%,Acceptable 🟢,1,Below usual 🔻,0.66%
2026,April,3,MS-26-02675,INJECTION AREA,BBT-7MM-5MTR,BABBLESTUBEID=7MMTL=5MT,796,11,1.38%,Acceptable 🟢,1,Below usual 🔻,2.35%
2026,April,3,MS-26-02676,INJECTION AREA,PVC-73ME-M,PVCMXMED73MEM(MAIS),1310,10,0.76%,Acceptable 🟢,1,Below usual 🔻,0.93%
2026,April,3,MS-26-02678,INJECTION AREA,F-S-HOLDER,FACESHEILDHOLDER,2734,42,1.54%,Acceptable 🟢,1,Above usual 🔺,0.48%
2026,April,3,MS-26-02679,INJECTION AREA,UM-CAP,URINALMALECOVERCAP,1635,29,1.77%,Acceptable 🟢,1,Above usual 🔺,0.49%
2026,April,3,MS-26-02680,INJECTION AREA,IV-HS-YL,CATHETERHUBG24W/OP,21956,5,0.02%,Acceptable 🟢,1,Below usual 🔻,0.23%
2026,April,3,MS-26-02681,INJECTION AREA,3WAY-KNOB-4,KNOB FOR 3WAY STOPCOCK-4,20740,7,0.03%,Acceptable 🟢,1,Below usual 🔻,0.09%
2026,April,3,MS-26-02682,INJECTION AREA,3WAY-HOU-5,3WAY HOUSING-5,13784,35,0.25%,Acceptable 🟢,1,Below usual 🔻,0.36%
2026,April,3,MS-26-02683,INJECTION AREA,YAN-CON-UV,YANKAUERCONNECTORUNIVERSAL,2144,2,0.09%,Acceptable 🟢,1,Below usual 🔻,0.23%
2026,April,3,MS-26-02684,INJECTION AREA,BBC-BODY-COV-2,BCBODYCOVER2,2585,10,0.39%,Acceptable 🟢,1,Above usual 🔺,0.36%
2026,April,3,MS-26-02685,INJECTION AREA,GG-LENSE-2,GOGGLE LENSE 2,656,6,0.91%,Acceptable 🟢,1,Below usual 🔻,3.99%
2026,April,3,MS-26-02692,INJECTION AREA,SUC-CON-T-180,SUCTIONCONNTUBES/S180CM.,3902,2,0.05%,Acceptable 🟢,1,Below usual 🔻,0.68%
2026,April,3,MS-26-02694,INJECTION AREA,BBC-BODY2,BC-BODY-2,2656,46,1.73%,Acceptable 🟢,1,Above usual 🔺,1.24%
2026,April,3,MS-26-02695,INJECTION AREA,BBT-7MM-5MTR,BABBLESTUBEID=7MMTL=5MT,808,8,0.99%,Acceptable 🟢,1,Below usual 🔻,2.35%
2026,April,3,MS-26-02747,ASSEMBLY AREA,G-071-2032,IV CANNULA G20X32 W/PORT,12500,14,0.06%,Acceptable 🟢,2,At usual ✅,0.06%
2026,April,3,MS-26-02768,ASSEMBLY AREA,G-070-1432,IVCANNULAWITHOUTPORT24GX13MM SHORT,15480,3173,1.47%,Acceptable 🟢,8,Above usual 🔺,1.44%
2026,April,3,MS-26-02769,ASSEMBLY AREA,G-041-200AP,BLOOD LINES FOR HAEMODIALYSIS GAMBRO AK-200-AP,413,4,0.32%,Acceptable 🟢,3,Below usual 🔻,0.75%
2026,April,3,MS-26-02770,ASSEMBLY AREA,G-050-6000,WASTEBAG,350,16,2.29%,Acceptable 🟢,2,Below usual 🔻,4.69%
2026,April,3,MS-26-02771,ASSEMBLY AREA,G-072-2619,IV CANNULA G26X19MM,12500,4041,2.31%,Acceptable 🟢,8,Above usual 🔺,2.04%
2026,April,3,MS-26-02772,PACKAGING AREA,G-140-0270,SUCTIONCONNECTINGTUBE SIZE 270CM,1100,7,0.32%,Acceptable 🟢,2,Above usual 🔺,0.23%
2026,April,3,MS-26-02773,PACKAGING AREA,G-DIS-20-240-13,SCISSOR SHARP BLUNT TIP DISPOSABLE STERILE SIZE: 13,4900,2,0.02%,Acceptable 🟢,2,At usual ✅,0.02%
2026,April,3,MS-26-02774,PACKAGING AREA,G-072-2619,IV CANNULA G26X19MM,17000,2.4,0.01%,Acceptable 🟢,2,Below usual 🔻,2.04%
2026,April,3,MS-26-02775,PACKAGING AREA,G-550-0440,UMBILICAL CATHETER SIZE # 04-40CM,850,8.2,0.48%,Acceptable 🟢,2,Below usual 🔻,0.67%
2026,April,3,MS-26-02776,PACKAGING AREA,G-162-1180,YANKUR SUCTION SET 180CM,3150,4.2,0.07%,Acceptable 🟢,2,Below usual 🔻,0.54%
2026,April,3,MS-26-02805,ASSEMBLY AREA,G-401-0010,3WAYSTOPCOCKWITH10CMTUBE-STERILE,13681,121,0.15%,Acceptable 🟢,6,Below usual 🔻,0.40%
2026,April,3,MS-26-02806,ASSEMBLY AREA,G-304-0650B,SODIUM BICARBONATE FOR FRESENIUS 5008 HAEMODIALYSIS SYSTEM SZ: 650 GRAM,2412,59,0.61%,Acceptable 🟢,4,Below usual 🔻,1.05%
2026,April,3,MS-26-02807,ASSEMBLY AREA,G-301-0650,SODIUM BICARBONATE GAMBRO 650 GRAM,890,113,2.54%,Acceptable 🟢,5,Above usual 🔺,1.97%
2026,April,3,MS-26-02808,ASSEMBLY AREA,G-304-0650B,SODIUM BICARBONATE FOR FRESENIUS 5008 HAEMODIALYSIS SYSTEM SZ: 650 GRAM,2412,2,0.08%,Acceptable 🟢,1,Below usual 🔻,1.05%
2026,April,3,MS-26-02812,ASSEMBLY AREA,G-301-0650,SODIUM BICARBONATE GAMBRO 650 GRAM,2140,191,1.79%,Acceptable 🟢,5,Below usual 🔻,1.97%
2026,April,5,MS-26-03876,SUPER MASTER #26,IV-HS-VIO,CATHETERHUBG26VIOS.W.W/OP,,0.05,,No data,1,No data,0.19%
2026,April,5,MS-26-03877,SUPER MASTER #25,3WAY-KNOB-4,KNOB FOR 3WAY STOPCOCK-4,,0.01,,No data,1,No data,0.09%
2026,April,5,MS-26-03878,ARBURG#12,IV-NP26-K-1,NEEDLEHOLDERG26W/P,,0.04,,No data,1,No data,0.09%
2026,April,5,MS-26-03879,HUARONG#33,3WAY-HOU-5,3WAY HOUSING-5,,0.02,,No data,1,No data,0.36%
2026,April,5,MS-26-03880,HUARONG#28,3WAY-HOU-4,3WAYHOUSING4,,0.02,,No data,1,No data,0.34%
2026,April,5,MS-26-03888,INJECTION AREA,PVC-78CGR-M,PVCCOMPOUNDMXMED78CGRM,15,15,100.00%,High reject 🔴,1,At usual ✅,100.00%
2026,April,5,MS-26-03889,NEW KAHLE,BU-070-1432,IV CANNULA WITHOUT PORT 14G NEEDLE LENGTH-32MM,,73.01,,No data,5,No data,
2026,April,5,MS-26-03890,OLD KAHLE,BU-072-2619,IV CANNULA SMALL WING WITHOUT PORT 26G NEEDLE LENGTH-19MM -,,28.43,,No data,5,No data,
2026,April,5,MS-26-03891,COLIMATIC 90-1,G-070-1432,IVCANNULAWITHOUTPORT24GX13MM SHORT,,0.78,,No data,2,No data,1.44%
2026,April,5,MS-26-03892,INJECTION AREA,IV-BS-2,BLOODSTOPPER-2,46033,33,0.07%,Acceptable 🟢,1,Above usual 🔺,0.06%
2026,April,5,MS-26-03893,INJECTION AREA,MALE-CON-LL-2,MALE CONNECTOR LUER LOCK NEW,25031,105,0.42%,Acceptable 🟢,1,Above usual 🔺,0.33%
2026,April,5,MS-26-03894,INJECTION AREA,YAN-CON-UV,YANKAUERCONNECTORUNIVERSAL,16888,27,0.16%,Acceptable 🟢,1,Below usual 🔻,0.23%
2026,April,5,MS-26-03895,INJECTION AREA,F-S-HOLDER,FACESHEILDHOLDER,3617,21,0.58%,Acceptable 🟢,1,Above usual 🔺,0.48%
2026,April,5,MS-26-03896,INJECTION AREA,UM-CAP,URINALMALECOVERCAP,668,2,0.30%,Acceptable 🟢,1,Below usual 🔻,0.49%
2026,April,5,MS-26-03897,INJECTION AREA,IV-NP26-K-1,NEEDLEHOLDERG26W/P,36867,27,0.07%,Acceptable 🟢,1,Below usual 🔻,0.09%
2026,April,5,MS-26-03898,INJECTION AREA,IV-B26,IV-BUSHINGPARTG26,80121,121,0.15%,Acceptable 🟢,1,Above usual 🔺,0.09%
2026,April,5,MS-26-03899,INJECTION AREA,HME-TV-FILTER-2,HME-THERMOVENTFILTER-2,4676,19,0.41%,Acceptable 🟢,1,Below usual 🔻,0.66%
2026,April,5,MS-26-03900,INJECTION AREA,3WAY-KNOB-4,KNOB FOR 3WAY STOPCOCK-4,21060,33,0.16%,Acceptable 🟢,1,Above usual 🔺,0.09%
2026,April,5,MS-26-03901,INJECTION AREA,IV-HS-VIO,CATHETERHUBG26VIOS.W.W/OP,29532,20,0.07%,Acceptable 🟢,1,Below usual 🔻,0.19%
2026,April,5,MS-26-03902,INJECTION AREA,IV-BS-2,BLOODSTOPPER-2,45616,16,0.04%,Acceptable 🟢,1,Below usual 🔻,0.06%
2026,April,5,MS-26-03903,INJECTION AREA,F-S-HOLDER,FACESHEILDHOLDER,4017,13,0.32%,Acceptable 🟢,1,Below usual 🔻,0.48%
2026,April,5,MS-26-03904,INJECTION AREA,UM-CAP,URINALMALECOVERCAP,1519,2,0.13%,Acceptable 🟢,1,Below usual 🔻,0.49%
2026,April,5,MS-26-03905,INJECTION AREA,IV-B26,IV-BUSHINGPARTG26,105050,50,0.05%,Acceptable 🟢,1,Below usual 🔻,0.09%
2026,April,5,MS-26-03906,INJECTION AREA,IV-NP26-K-1,NEEDLEHOLDERG26W/P,36598,20,0.05%,Acceptable 🟢,1,Below usual 🔻,0.09%
2026,April,5,MS-26-03907,INJECTION AREA,YAN-CON-UV,YANKAUERCONNECTORUNIVERSAL,17151,10,0.06%,Acceptable 🟢,1,Below usual 🔻,0.23%
2026,April,5,MS-26-03908,INJECTION AREA,MALE-CON-LL-2,MALE CONNECTOR LUER LOCK NEW,12658,50,0.40%,Acceptable 🟢,1,Above usual 🔺,0.33%
2026,April,5,MS-26-03909,INJECTION AREA,HME-TV-FILTER-2,HME-THERMOVENTFILTER-2,5008,20,0.40%,Acceptable 🟢,1,Below usual 🔻,0.66%
2026,April,5,MS-26-03910,INJECTION AREA,3WAY-KNOB-4,KNOB FOR 3WAY STOPCOCK-4,21774,10,0.05%,Acceptable 🟢,1,Below usual 🔻,0.09%
2026,April,5,MS-26-03911,INJECTION AREA,EP-UNIV,ENDPLUG-2,44802,26,0.06%,Acceptable 🟢,1,Below usual 🔻,0.08%
2026,April,5,MS-26-03912,INJECTION AREA,3WAY-HOU-4,3WAYHOUSING4,13046,130,1.00%,Acceptable 🟢,1,Above usual 🔺,0.34%
2026,April,5,MS-26-03913,INJECTION AREA,IV-HS-VIO,CATHETERHUBG26VIOS.W.W/OP,29288,20,0.07%,Acceptable 🟢,1,Below usual 🔻,0.19%
2026,April,5,MS-26-03914,INJECTION AREA,BB-HOLDER,HOLDERFORBCBAG,3817,5,0.13%,Acceptable 🟢,1,Below usual 🔻,0.48%
2026,April,5,MS-26-03915,INJECTION AREA,3WAY-HOU-5,3WAY HOUSING-5,14612,30,0.21%,Acceptable 🟢,1,Below usual 🔻,0.36%
2026,April,5,MS-26-03916,INJECTION AREA,PET-CAP-50,PET CAP FOR 50ML BOTTLE,14628,10,0.07%,Acceptable 🟢,1,Below usual 🔻,0.66%
2026,April,5,MS-26-03917,INJECTION AREA,PET-240ML,PET PLASTIC BOTTLE 240 ML WHITE,23180,80,0.35%,Acceptable 🟢,1,Below usual 🔻,0.79%
2026,April,5,MS-26-03918,INJECTION AREA,SUC-CON-T-270,SUCTIONCONNTUBES/S270MINI,2809,9,0.32%,Acceptable 🟢,1,Below usual 🔻,0.47%
2026,April,5,MS-26-03919,INJECTION AREA,SUC-CON-T-180,SUCTIONCONNTUBES/S180CM.,4015,15,0.37%,Acceptable 🟢,1,Below usual 🔻,0.68%
2026,April,5,MS-26-03920,INJECTION AREA,YAN-CON-UV,YANKAUERCONNECTORUNIVERSAL,16926,35,0.21%,Acceptable 🟢,1,Below usual 🔻,0.23%
2026,April,5,MS-26-03921,INJECTION AREA,HME-TV-FILTER-2,HME-THERMOVENTFILTER-2,5512,73,1.32%,Acceptable 🟢,1,Above usual 🔺,0.66%
2026,April,5,MS-26-03922,INJECTION AREA,IV-BS-2,BLOODSTOPPER-2,45625,25,0.05%,Acceptable 🟢,1,Below usual 🔻,0.06%
2026,April,5,MS-26-03923,INJECTION AREA,MALE-CON-LL-2,MALE CONNECTOR LUER LOCK NEW,22285,257,1.15%,Acceptable 🟢,1,Above usual 🔺,0.33%
2026,April,5,MS-26-03924,INJECTION AREA,IV-B26,IV-BUSHINGPARTG26,105090,90,0.09%,Acceptable 🟢,1,Below usual 🔻,0.09%
2026,April,5,MS-26-03925,INJECTION AREA,F-S-HOLDER,FACESHEILDHOLDER,4101,15,0.37%,Acceptable 🟢,1,Below usual 🔻,0.48%
2026,April,5,MS-26-03926,INJECTION AREA,IV-NP26-K-1,NEEDLEHOLDERG26W/P,34236,27,0.08%,Acceptable 🟢,1,Below usual 🔻,0.09%
2026,April,5,MS-26-03927,INJECTION AREA,OXY-T-CON-L-3,UNIVERSALCONNECTOR3,78173,120,0.15%,Acceptable 🟢,1,Below usual 🔻,0.20%
2026,April,5,MS-26-03928,INJECTION AREA,3WAY-KNOB-4,KNOB FOR 3WAY STOPCOCK-4,18401,20,0.11%,Acceptable 🟢,1,Above usual 🔺,0.09%
2026,April,5,MS-26-03929,INJECTION AREA,3WAY-HOU-5,3WAY HOUSING-5,14436,20,0.14%,Acceptable 🟢,1,Below usual 🔻,0.36%
2026,April,5,MS-26-03930,INJECTION AREA,IV-HS-VIO,CATHETERHUBG26VIOS.W.W/OP,28565,29,0.10%,Acceptable 🟢,1,Below usual 🔻,0.19%
2026,April,5,MS-26-03931,INJECTION AREA,UM-CAP,URINALMALECOVERCAP,1545,5,0.32%,Acceptable 🟢,1,Below usual 🔻,0.49%
2026,April,5,MS-26-03932,INJECTION AREA,3WAY-HOU-5,3WAY HOUSING-5,14516,17,0.12%,Acceptable 🟢,1,Below usual 🔻,0.36%
2026,April,5,MS-26-03933,INJECTION AREA,EP-UNIV,ENDPLUG-2,45021,22,0.05%,Acceptable 🟢,1,Below usual 🔻,0.08%
